net,epoch,loss,pde_loss,bc_loss,epoch_time_s,elapsed_s,lambda_weight
Net3(),1,0.026424,0.001949,0.002448,0.009,0.009,10.000
Net3(),200,0.132024,0.092151,0.003987,0.009,1.937,10.000
Net3(),400,0.057500,0.030442,0.002706,0.009,3.860,10.000
Net3(),600,0.078821,0.053054,0.002577,0.009,5.777,10.000
Net3(),800,0.080267,0.055003,0.002526,0.014,7.897,10.000
Net3(),1000,2.387841,2.355496,0.003235,0.009,10.099,10.000
Net3(),1200,0.258071,0.229801,0.002827,0.009,12.026,10.000
Net3(),1400,0.311690,0.287951,0.002374,0.009,13.982,10.000
Net3(),1600,0.302597,0.271050,0.003155,0.009,15.919,10.000
Net3(),1800,0.114781,0.096274,0.001851,0.010,17.848,10.000
Net3(),2000,0.218517,0.193754,0.002476,0.011,19.991,10.000
Net3(),2200,0.090247,0.066867,0.002338,0.009,22.187,10.000
Net3(),2400,0.080190,0.061269,0.001892,0.010,24.116,10.000
Net3(),2600,0.167971,0.131758,0.003621,0.009,26.064,10.000
Net3(),2800,0.064527,0.041592,0.002293,0.010,27.995,10.000
Net3(),3000,0.579239,0.562765,0.001647,0.009,29.917,10.000
Net3(),3200,0.597692,0.578751,0.001894,0.011,32.111,10.000
Net3(),3400,0.058608,0.040661,0.001795,0.010,34.300,10.000
Net3(),3600,0.164178,0.148076,0.001610,0.010,36.208,10.000
Net3(),3800,0.051566,0.033253,0.001831,0.009,38.121,10.000
Net3(),4000,0.207501,0.185245,0.002226,0.009,40.018,10.000
Net3(),4200,0.109022,0.091875,0.001715,0.009,41.923,10.000
Net3(),4400,0.106634,0.088348,0.001829,0.011,44.063,10.000
Net3(),4600,0.099686,0.080129,0.001956,0.010,46.265,10.000
Net3(),4800,0.290045,0.275501,0.001454,0.009,48.199,10.000
Net3(),5000,0.069873,0.051859,0.001801,0.009,50.146,10.000
Net3(),5200,0.256914,0.228390,0.002852,0.009,52.069,10.000
Net3(),5400,0.476955,0.453314,0.002364,0.009,53.973,10.000
Net3(),5600,0.137550,0.120668,0.001688,0.012,56.155,10.000
Net3(),5800,0.057996,0.045419,0.001258,0.010,58.345,10.000
Net3(),6000,0.105109,0.089366,0.001574,0.009,60.295,10.000
Net3(),6200,0.096083,0.080690,0.001539,0.009,62.239,10.000
Net3(),6400,0.391729,0.371391,0.002034,0.011,64.155,10.000
Net3(),6600,0.154732,0.140404,0.001433,0.009,66.069,10.000
Net3(),6800,0.077222,0.063022,0.001420,0.011,68.241,10.000
