net,epoch,loss,pde_loss,bc_loss,epoch_time_s,elapsed_s,lambda_weight
Net3(),1,2673.055176,2672.828857,0.004526,0.790,0.790,50.000
Net3(),200,98.924492,28.725319,1.403983,0.009,3.038,50.000
Net3(),400,10.535722,3.734071,0.136033,0.009,4.973,50.000
Net3(),600,4.363324,2.254209,0.042182,0.009,6.928,50.000
Net3(),800,2.903981,1.959600,0.018888,0.015,8.929,50.000
Net3(),1000,1.493626,0.867295,0.012527,0.009,10.909,50.000
Net3(),1200,1.368702,0.992073,0.007533,0.015,13.178,50.000
Net3(),1400,1.397755,1.076867,0.006418,0.010,15.395,50.000
Net3(),1600,2.640746,2.391679,0.004981,0.009,17.365,50.000
Net3(),1800,0.783100,0.583100,0.004000,0.009,19.332,50.000
Net3(),2000,0.456387,0.254068,0.004046,0.012,21.304,50.000
Net3(),2200,0.562817,0.356906,0.004118,0.009,23.278,50.000
Net3(),2400,0.678117,0.546987,0.002623,0.013,25.636,50.000
Net3(),2600,0.569895,0.401097,0.003376,0.009,27.749,50.000
Net3(),2800,0.395763,0.236977,0.003176,0.009,29.669,50.000
Net3(),3000,1.084656,0.956119,0.002571,0.009,31.602,50.000
Net3(),3200,0.556331,0.442375,0.002279,0.009,33.535,50.000
Net3(),3400,0.416697,0.317659,0.001981,0.011,35.487,50.000
Net3(),3600,0.471908,0.383903,0.001760,0.016,37.846,50.000
Net3(),3800,0.914532,0.792103,0.002449,0.010,39.904,50.000
Net3(),4000,4.076884,3.963181,0.002274,0.010,41.850,50.000
Net3(),4200,0.242923,0.156643,0.001726,0.009,43.805,50.000
Net3(),4400,1.061514,0.946592,0.002298,0.009,45.743,50.000
Net3(),4600,0.369703,0.281239,0.001769,0.009,47.671,50.000
Net3(),4800,1.187338,1.108877,0.001569,0.015,50.046,50.000
Net3(),5000,0.295272,0.223365,0.001438,0.010,52.045,50.000
Net3(),5200,0.340404,0.274777,0.001313,0.010,53.988,50.000
Net3(),5400,0.402521,0.336448,0.001321,0.009,55.955,50.000
Net3(),5600,0.284107,0.228760,0.001107,0.009,57.877,50.000
Net3(),5800,0.334971,0.291068,0.000878,0.009,59.812,50.000
Net3(),6000,0.474300,0.420738,0.001071,0.009,62.862,50.000
Net3(),6200,0.247986,0.194542,0.001069,0.009,64.981,50.000
Net3(),6400,0.284461,0.222350,0.001242,0.009,66.902,50.000
Net3(),6600,0.392036,0.347490,0.000891,0.009,68.846,50.000
Net3(),6800,0.341192,0.286327,0.001097,0.009,70.784,50.000
Net3(),7000,2.110808,2.046618,0.001284,0.012,72.853,50.000
Net3(),7200,0.168197,0.127393,0.000816,0.010,75.143,50.000
Net3(),7400,0.873995,0.825601,0.000968,0.010,77.097,50.000
Net3(),7600,0.459844,0.436540,0.000466,0.009,79.036,50.000
Net3(),7800,0.128732,0.097214,0.000630,0.009,80.962,50.000
Net3(),8000,0.260418,0.228445,0.000639,0.009,82.878,50.000
Net3(),8200,0.657595,0.592801,0.001296,0.012,84.952,50.000
Net3(),8400,0.142339,0.113559,0.000576,0.009,87.249,50.000
Net3(),8600,1.060308,1.012994,0.000946,0.009,89.170,50.000
Net3(),8800,0.095177,0.072172,0.000460,0.009,91.092,50.000
Net3(),9000,0.448454,0.414704,0.000675,0.009,93.031,50.000
Net3(),9200,0.347947,0.325742,0.000444,0.009,95.005,50.000
Net3(),9400,0.264919,0.242499,0.000448,0.012,97.130,50.000
Net3(),9600,0.278496,0.256406,0.000442,0.010,99.386,50.000
Net3(),9800,0.243585,0.216789,0.000536,0.010,101.338,50.000
Net3(),10000,0.106585,0.088288,0.000366,0.009,103.271,50.000
Net3(),10200,0.134021,0.114169,0.000397,0.009,105.205,50.000
Net3(),10400,0.305459,0.284956,0.000410,0.011,107.138,50.000
Net3(),10600,0.091676,0.071275,0.000408,0.012,109.273,50.000
Net3(),10800,0.063150,0.048319,0.000297,0.009,111.526,50.000
Net3(),11000,0.330603,0.314530,0.000321,0.011,113.486,50.000
Net3(),11200,0.102500,0.086334,0.000323,0.010,115.444,50.000
Net3(),11400,0.074763,0.061876,0.000258,0.009,117.429,50.000
Net3(),11600,0.105181,0.093479,0.000234,0.010,119.379,50.000
Net3(),11800,0.222131,0.205360,0.000335,0.011,121.624,50.000
Net3(),12000,0.391799,0.376127,0.000313,0.009,123.804,50.000
Net3(),12200,0.105907,0.095110,0.000216,0.009,125.753,50.000
Net3(),12400,0.313053,0.299963,0.000262,0.009,127.718,50.000
Net3(),12600,0.260380,0.246424,0.000279,0.009,129.663,50.000
Net3(),12800,0.176783,0.166375,0.000208,0.010,131.578,50.000
Net3(),13000,0.073723,0.063381,0.000207,0.016,133.770,50.000
Net3(),13200,0.066892,0.054232,0.000253,0.009,135.939,50.000
Net3(),13400,0.049705,0.041952,0.000155,0.009,137.862,50.000
Net3(),13600,0.215502,0.204551,0.000219,0.009,139.795,50.000
Net3(),13800,0.107233,0.097303,0.000199,0.009,141.738,50.000
Net3(),14000,0.049560,0.043136,0.000128,0.010,143.658,50.000
Net3(),14200,0.075101,0.066741,0.000167,0.015,145.921,50.000
Net3(),14400,0.048035,0.041161,0.000137,0.010,148.046,50.000
Net3(),14600,0.521411,0.512643,0.000175,0.010,149.990,50.000
Net3(),14800,0.067591,0.060065,0.000151,0.009,151.931,50.000
Net3(),15000,0.075933,0.067582,0.000167,0.010,153.873,50.000
Net3(),15200,0.096374,0.088878,0.000150,0.010,155.819,50.000
Net3(),15400,0.142839,0.135194,0.000153,0.012,158.082,50.000
Net3(),15600,0.027984,0.022887,0.000102,0.009,160.168,50.000
Net3(),15800,0.040118,0.034751,0.000107,0.014,162.098,50.000
Net3(),16000,0.110015,0.101052,0.000179,0.009,164.004,50.000
Net3(),16200,0.073062,0.067347,0.000114,0.009,165.922,50.000
Net3(),16400,0.053326,0.048567,0.000095,0.009,167.848,50.000
Net3(),16600,0.118558,0.110991,0.000151,0.012,170.132,50.000
Net3(),16800,0.124903,0.119110,0.000116,0.009,172.270,50.000
Net3(),17000,0.081079,0.074202,0.000138,0.010,174.203,50.000
Net3(),17200,0.040172,0.035128,0.000101,0.010,176.155,50.000
Net3(),17400,0.030148,0.026184,0.000079,0.010,178.086,50.000
Net3(),17600,0.087292,0.082201,0.000102,0.009,179.999,50.000
Net3(),17800,0.025850,0.022803,0.000061,0.013,182.337,50.000
Net3(),18000,0.348577,0.334826,0.000275,0.010,184.395,50.000
Net3(),18200,0.027952,0.024887,0.000061,0.009,186.328,50.000
Net3(),18400,0.098676,0.091601,0.000141,0.010,188.265,50.000
Net3(),18600,0.035233,0.030806,0.000089,0.013,190.198,50.000
Net3(),18800,0.265158,0.252949,0.000244,0.009,192.124,50.000
Net3(),19000,0.031243,0.027316,0.000079,0.012,194.476,50.000
Net3(),19200,0.040137,0.036882,0.000065,0.009,196.497,50.000
Net3(),19400,0.124741,0.121291,0.000069,0.009,198.417,50.000
Net3(),19600,0.047916,0.043832,0.000082,0.009,200.341,50.000
Net3(),19800,0.027476,0.024382,0.000062,0.009,202.286,50.000
Net3(),20000,0.257348,0.251564,0.000116,0.009,204.209,50.000
Net3(),20200,0.071878,0.068603,0.000065,0.014,206.603,50.000
Net3(),20400,0.032446,0.028562,0.000078,0.009,208.605,50.000
Net3(),20600,0.051839,0.047947,0.000078,0.010,210.553,50.000
Net3(),20800,0.142666,0.138606,0.000081,0.009,212.496,50.000
Net3(),21000,0.163520,0.159561,0.000079,0.009,214.449,50.000
Net3(),21200,0.031532,0.028591,0.000059,0.009,216.393,50.000
Net3(),21400,0.529120,0.512197,0.000338,0.011,218.833,50.000
Net3(),21600,0.043053,0.039975,0.000062,0.009,220.759,50.000
Net3(),21800,0.025854,0.023349,0.000050,0.010,222.710,50.000
Net3(),22000,0.095593,0.091875,0.000074,0.010,224.636,50.000
Net3(),22200,0.167352,0.161335,0.000120,0.009,226.564,50.000
Net3(),22400,0.011168,0.008693,0.000049,0.009,228.469,50.000
Net3(),22600,0.045056,0.043008,0.000041,0.009,230.899,50.000
Net3(),22800,0.052934,0.049987,0.000059,0.012,232.855,50.000
Net3(),23000,0.022083,0.020310,0.000035,0.010,234.774,50.000
Net3(),23200,0.079620,0.075894,0.000075,0.009,236.746,50.000
Net3(),23400,0.019163,0.017376,0.000036,0.009,238.670,50.000
Net3(),23600,0.016267,0.014818,0.000029,0.009,240.610,50.000
Net3(),23800,0.031263,0.027737,0.000071,0.009,243.062,50.000
Net3(),24000,0.031199,0.029070,0.000043,0.009,244.981,50.000
Net3(),24200,0.067643,0.064942,0.000054,0.009,246.904,50.000
Net3(),24400,0.054549,0.051711,0.000057,0.009,248.849,50.000
Net3(),24600,0.019319,0.017579,0.000035,0.009,250.764,50.000
Net3(),24800,0.015405,0.014166,0.000025,0.009,252.688,50.000
Net3(),25000,0.031288,0.027484,0.000076,0.009,255.138,50.000
Net3(),25200,0.024853,0.023292,0.000031,0.010,257.046,50.000
Net3(),25400,0.021946,0.018642,0.000066,0.009,258.966,50.000
Net3(),25600,0.016092,0.014642,0.000029,0.010,260.894,50.000
Net3(),25800,0.018026,0.016036,0.000040,0.009,262.826,50.000
Net3(),26000,0.011038,0.009760,0.000026,0.010,264.762,50.000
Net3(),26200,0.027391,0.026410,0.000020,0.009,267.247,50.000
Net3(),26400,0.015899,0.014505,0.000028,0.015,269.170,50.000
Net3(),26600,0.017519,0.015969,0.000031,0.009,271.083,50.000
Net3(),26800,0.085376,0.083718,0.000033,0.009,273.016,50.000
Net3(),27000,0.011848,0.010787,0.000021,0.010,274.991,50.000
Net3(),27200,0.020989,0.019662,0.000027,0.009,276.930,50.000
Net3(),27400,0.022838,0.021690,0.000023,0.009,279.375,50.000
Net3(),27600,0.014912,0.013817,0.000022,0.011,281.312,50.000
Net3(),27800,0.011622,0.010694,0.000019,0.009,283.238,50.000
Net3(),28000,0.053270,0.051669,0.000032,0.009,285.194,50.000
Net3(),28200,0.013420,0.012480,0.000019,0.009,287.116,50.000
Net3(),28400,0.016408,0.014798,0.000032,0.009,289.057,50.000
Net3(),28600,0.043592,0.042122,0.000029,0.011,291.487,50.000
Net3(),28800,0.019012,0.017459,0.000031,0.009,293.423,50.000
Net3(),29000,0.015012,0.013938,0.000021,0.010,295.362,50.000
Net3(),29200,0.013002,0.011908,0.000022,0.009,297.314,50.000
Net3(),29400,0.016541,0.015089,0.000029,0.009,299.247,50.000
