net,epoch,loss,pde_loss,bc_loss,epoch_time_s,elapsed_s,lambda_weight
Net3(),1,0.076570,0.002470,0.074100,0.010,0.010,1.000
Net3(),200,0.103782,0.016732,0.087050,0.009,1.920,1.000
Net3(),400,0.121621,0.052797,0.068824,0.009,3.842,1.000
Net3(),600,0.105800,0.039614,0.066186,0.012,5.989,1.000
Net3(),800,0.088746,0.030238,0.058508,0.009,8.170,1.000
Net3(),1000,0.486023,0.416538,0.069485,0.015,10.077,1.000
Net3(),1200,0.324758,0.273265,0.051493,0.009,11.996,1.000
Net3(),1400,0.183002,0.132417,0.050585,0.009,13.922,1.000
Net3(),1600,0.589689,0.534508,0.055181,0.009,15.822,1.000
Net3(),1800,0.343004,0.294444,0.048560,0.012,17.993,1.000
Net3(),2000,0.154480,0.105892,0.048588,0.009,20.179,1.000
Net3(),2200,0.569685,0.518052,0.051633,0.009,22.085,1.000
Net3(),2400,0.181832,0.134805,0.047027,0.009,24.024,1.000
Net3(),2600,0.121416,0.080810,0.040607,0.009,25.976,1.000
Net3(),2800,0.099313,0.054692,0.044621,0.011,27.889,1.000
Net3(),3000,0.189084,0.146985,0.042099,0.011,30.059,1.000
Net3(),3200,0.223506,0.184576,0.038930,0.009,32.272,1.000
Net3(),3400,0.076322,0.032668,0.043654,0.009,34.187,1.000
Net3(),3600,0.530596,0.490404,0.040192,0.009,36.106,1.000
Net3(),3800,0.209546,0.172763,0.036783,0.010,38.026,1.000
Net3(),4000,0.319484,0.280649,0.038835,0.009,39.962,1.000
Net3(),4200,0.162814,0.126911,0.035904,0.011,42.123,1.000
Net3(),4400,0.489807,0.453758,0.036048,0.012,44.323,1.000
Net3(),4600,0.093282,0.052825,0.040458,0.009,46.251,1.000
Net3(),4800,0.354344,0.319422,0.034922,0.010,48.226,1.000
Net3(),5000,0.097732,0.062702,0.035030,0.009,50.156,1.000
Net3(),5200,1.094026,1.056557,0.037469,0.009,52.070,1.000
Net3(),5400,0.061439,0.028735,0.032705,0.011,54.241,1.000
Net3(),5600,0.129805,0.100706,0.029099,0.010,56.470,1.000
Net3(),5800,0.222677,0.198075,0.024602,0.009,58.401,1.000
Net3(),6000,0.172340,0.145000,0.027339,0.009,60.324,1.000
Net3(),6200,0.186211,0.159340,0.026871,0.010,62.246,1.000
Net3(),6400,0.342836,0.312143,0.030693,0.010,64.194,1.000
Net3(),6600,0.047856,0.019559,0.028297,0.011,66.358,1.000
Net3(),6800,1.202829,1.175864,0.026966,0.010,68.528,1.000
Net3(),7000,0.132878,0.106686,0.026192,0.009,70.444,1.000
Net3(),7200,0.071628,0.043763,0.027865,0.013,72.363,1.000
Net3(),7400,0.047473,0.022673,0.024800,0.010,74.284,1.000
Net3(),7600,0.060199,0.041250,0.018949,0.009,76.216,1.000
Net3(),7800,0.329691,0.308011,0.021680,0.011,78.421,1.000
Net3(),8000,0.969220,0.941061,0.028159,0.009,80.587,1.000
Net3(),8200,0.048912,0.023945,0.024967,0.009,82.501,1.000
Net3(),8400,0.074962,0.054010,0.020952,0.009,84.417,1.000
Net3(),8600,0.320281,0.297194,0.023087,0.009,86.346,1.000
Net3(),8800,0.187397,0.166714,0.020683,0.009,88.287,1.000
Net3(),9000,0.115104,0.094307,0.020797,0.011,90.452,1.000
Net3(),9200,0.491464,0.473070,0.018394,0.009,92.590,1.000
Net3(),9400,0.059695,0.039562,0.020133,0.009,94.506,1.000
Net3(),9600,0.285983,0.269256,0.016727,0.010,96.442,1.000
Net3(),9800,0.036240,0.017541,0.018700,0.015,98.392,1.000
Net3(),10000,0.792493,0.774565,0.017928,0.009,100.303,1.000
Net3(),10200,0.049112,0.031037,0.018075,0.011,102.492,1.000
Net3(),10400,0.054444,0.034543,0.019901,0.009,104.645,1.000
Net3(),10600,0.094131,0.076682,0.017450,0.009,106.546,1.000
Net3(),10800,0.791732,0.776175,0.015556,0.009,108.502,1.000
Net3(),11000,0.115747,0.101352,0.014394,0.009,110.424,1.000
Net3(),11200,0.235939,0.219743,0.016195,0.009,112.369,1.000
Net3(),11400,0.093951,0.077506,0.016445,0.011,114.545,1.000
Net3(),11600,0.049171,0.037394,0.011777,0.010,116.749,1.000
Net3(),11800,0.886168,0.870571,0.015597,0.009,118.669,1.000
Net3(),12000,0.068041,0.052642,0.015399,0.009,120.598,1.000
Net3(),12200,0.070880,0.057784,0.013096,0.009,122.536,1.000
Net3(),12400,0.148077,0.133003,0.015073,0.010,124.454,1.000
Net3(),12600,0.073138,0.059381,0.013757,0.012,126.641,1.000
Net3(),12800,0.281142,0.266526,0.014616,0.010,128.794,1.000
Net3(),13000,0.045735,0.032168,0.013568,0.009,130.713,1.000
Net3(),13200,0.129427,0.114286,0.015142,0.009,132.613,1.000
Net3(),13400,0.111187,0.098355,0.012832,0.009,134.537,1.000
Net3(),13600,0.088149,0.075645,0.012504,0.009,136.452,1.000
Net3(),13800,0.044707,0.031643,0.013064,0.011,138.687,1.000
Net3(),14000,0.114559,0.102857,0.011702,0.009,140.837,1.000
Net3(),14200,0.027593,0.014643,0.012950,0.010,142.804,1.000
Net3(),14400,0.036480,0.025108,0.011372,0.010,144.784,1.000
Net3(),14600,0.038006,0.027592,0.010415,0.009,146.746,1.000
Net3(),14800,0.087734,0.076553,0.011181,0.009,148.714,1.000
Net3(),15000,0.224796,0.214584,0.010213,0.013,151.020,1.000
Net3(),15200,0.074351,0.062812,0.011539,0.009,153.131,1.000
Net3(),15400,0.121129,0.112620,0.008509,0.010,155.084,1.000
Net3(),15600,0.102413,0.092957,0.009455,0.010,157.050,1.000
Net3(),15800,0.078784,0.069783,0.009001,0.010,158.985,1.000
Net3(),16000,0.150243,0.141354,0.008889,0.009,160.925,1.000
Net3(),16200,0.082538,0.071955,0.010583,0.015,163.239,1.000
