net,epoch,loss,pde_loss,bc_loss,epoch_time_s,elapsed_s,lambda_weight
Net1,1,2597.000244,2596.995605,0.009457,0.010,0.010,0.500
Net1,200,139.863449,136.874771,5.977342,0.008,1.708,0.500
Net1,400,14.935669,10.578023,8.715292,0.008,3.405,0.500
Net1,600,6.610247,3.313701,6.593092,0.010,5.522,0.500
Net1,800,4.573453,1.904875,5.337156,0.008,7.295,0.500
Net1,1000,3.820509,1.555070,4.530878,0.008,8.966,0.500
Net1,1200,2.710561,0.923927,3.573266,0.008,10.652,0.500
Net1,1400,2.268209,0.797338,2.941743,0.008,12.372,0.500
Net1,1600,2.025284,0.758358,2.533853,0.008,14.101,0.500
Net1,1800,1.596061,0.484746,2.222629,0.008,15.787,0.500
Net1,2000,1.599557,0.587897,2.023320,0.009,17.995,0.500
Net1,2200,1.378447,0.482561,1.791771,0.008,19.705,0.500
Net1,2400,1.280102,0.401562,1.757082,0.008,21.403,0.500
Net1,2600,1.211418,0.365600,1.691637,0.008,23.150,0.500
Net1,2800,1.122806,0.309852,1.625908,0.008,24.842,0.500
Net1,3000,1.069134,0.305866,1.526536,0.008,26.561,0.500
Net1,3200,1.053263,0.310568,1.485390,0.010,28.414,0.500
Net1,3400,0.987395,0.231558,1.511674,0.010,30.457,0.500
Net1,3600,1.012410,0.227758,1.569304,0.009,32.119,0.500
Net1,3800,0.891226,0.187652,1.407146,0.008,33.825,0.500
Net1,4000,0.917804,0.200187,1.435234,0.008,35.534,0.500
Net1,4200,0.838515,0.200588,1.275853,0.008,37.196,0.500
Net1,4400,0.835347,0.166245,1.338204,0.008,38.853,0.500
Net1,4600,0.796520,0.141038,1.310965,0.011,40.731,0.500
Net1,4800,0.752365,0.140588,1.223554,0.008,42.777,0.500
Net1,5000,0.794197,0.147394,1.293605,0.008,44.486,0.500
Net1,5200,0.736666,0.135963,1.201405,0.009,46.182,0.500
Net1,5400,0.738010,0.142097,1.191826,0.008,47.896,0.500
Net1,5600,0.757878,0.161062,1.193631,0.008,49.576,0.500
Net1,5800,0.688595,0.125376,1.126438,0.008,51.254,0.500
Net1,6000,0.628336,0.096358,1.063956,0.011,53.189,0.500
Net1,6200,0.634449,0.107045,1.054808,0.008,55.147,0.500
Net1,6400,0.586413,0.094748,0.983332,0.008,56.869,0.500
Net1,6600,0.607847,0.120790,0.974114,0.008,58.581,0.500
Net1,6800,0.584083,0.087986,0.992193,0.008,60.259,0.500
Net1,7000,0.535990,0.081923,0.908135,0.009,61.981,0.500
Net1,7200,0.556142,0.096773,0.918738,0.008,63.685,0.500
Net1,7400,0.518049,0.072149,0.891800,0.010,65.743,0.500
Net1,7600,0.517581,0.095335,0.844492,0.008,67.534,0.500
Net1,7800,0.478117,0.081402,0.793431,0.008,69.230,0.500
Net1,8000,0.452415,0.069245,0.766339,0.008,70.956,0.500
Net1,8200,0.456411,0.086118,0.740587,0.008,72.659,0.500
Net1,8400,0.454002,0.073126,0.761751,0.013,74.406,0.500
Net1,8600,0.414500,0.076595,0.675809,0.009,76.114,0.500
Net1,8800,0.416755,0.076894,0.679722,0.008,78.322,0.500
Net1,9000,0.409733,0.082458,0.654551,0.009,80.017,0.500
Net1,9200,0.389193,0.079812,0.618764,0.008,81.714,0.500
Net1,9400,0.363895,0.070366,0.587057,0.010,83.426,0.500
Net1,9600,0.339129,0.059827,0.558604,0.008,85.147,0.500
Net1,9800,0.347338,0.077604,0.539467,0.009,86.867,0.500
Net1,10000,0.349494,0.073635,0.551718,0.010,88.665,0.500
Net1,10200,0.326622,0.067313,0.518619,0.009,90.765,0.500
Net1,10400,0.310593,0.069000,0.483186,0.009,92.420,0.500
Net1,10600,0.311927,0.071056,0.481744,0.008,94.110,0.500
Net1,10800,0.291182,0.067078,0.448207,0.008,95.832,0.500
Net1,11000,0.285225,0.063184,0.444081,0.008,97.492,0.500
Net1,11200,0.273320,0.052446,0.441750,0.008,99.184,0.500
Net1,11400,0.240620,0.047737,0.385766,0.011,101.060,0.500
Net1,11600,0.252831,0.060181,0.385301,0.008,103.093,0.500
Net1,11800,0.248242,0.054952,0.386579,0.009,104.771,0.500
Net1,12000,0.253092,0.074386,0.357411,0.008,106.482,0.500
Net1,12200,0.216973,0.047849,0.338247,0.009,108.169,0.500
Net1,12400,0.212844,0.056007,0.313675,0.008,109.866,0.500
Net1,12600,0.216454,0.054217,0.324473,0.008,111.528,0.500
Net1,12800,0.191361,0.043380,0.295963,0.014,113.444,0.500
Net1,13000,0.193401,0.045479,0.295844,0.008,115.412,0.500
Net1,13200,0.192030,0.043009,0.298042,0.008,117.095,0.500
Net1,13400,0.202535,0.047481,0.310107,0.008,118.772,0.500
Net1,13600,0.190467,0.047300,0.286333,0.010,120.458,0.500
Net1,13800,0.181781,0.042163,0.279236,0.008,122.188,0.500
Net1,14000,0.178428,0.043444,0.269967,0.008,123.868,0.500
Net1,14200,0.179456,0.048747,0.261418,0.011,125.834,0.500
Net1,14400,0.163456,0.042034,0.242845,0.008,127.745,0.500
Net1,14600,0.157467,0.038637,0.237660,0.008,129.476,0.500
Net1,14800,0.163920,0.040633,0.246574,0.008,131.196,0.500
Net1,15000,0.158973,0.041058,0.235829,0.008,132.857,0.500
Net1,15200,0.151415,0.042964,0.216901,0.010,134.589,0.500
Net1,15400,0.155438,0.040014,0.230849,0.008,136.288,0.500
Net1,15600,0.154792,0.041471,0.226642,0.013,138.402,0.500
Net1,15800,0.150511,0.041233,0.218555,0.008,140.131,0.500
Net1,16000,0.148232,0.039713,0.217037,0.008,141.843,0.500
Net1,16200,0.138036,0.038561,0.198950,0.013,143.550,0.500
Net1,16400,0.145977,0.040298,0.211358,0.008,145.248,0.500
Net1,16600,0.143877,0.037711,0.212333,0.008,146.937,0.500
Net1,16800,0.130293,0.033229,0.194128,0.008,148.606,0.500
Net1,17000,0.142618,0.038469,0.208297,0.008,150.798,0.500
Net1,17200,0.147539,0.040441,0.214196,0.010,152.462,0.500
Net1,17400,0.144209,0.038465,0.211487,0.008,154.147,0.500
Net1,17600,0.135873,0.037233,0.197280,0.008,155.844,0.500
Net1,17800,0.139231,0.037754,0.202955,0.009,157.572,0.500
Net1,18000,0.140997,0.038437,0.205120,0.008,159.250,0.500
Net1,18200,0.127469,0.033488,0.187961,0.010,160.992,0.500
Net1,18400,0.131794,0.035834,0.191920,0.008,163.096,0.500
Net1,18600,0.128943,0.034601,0.188684,0.008,164.813,0.500
Net1,18800,0.134972,0.036376,0.197190,0.008,166.498,0.500
Net1,19000,0.130195,0.029971,0.200447,0.015,168.162,0.500
Net1,19200,0.125169,0.036338,0.177662,0.009,169.865,0.500
Net1,19400,0.129861,0.033222,0.193278,0.012,171.548,0.500
Net1,19600,0.133386,0.038154,0.190465,0.010,173.390,0.500
Net1,19800,0.136636,0.033793,0.205686,0.008,175.407,0.500
Net1,20000,0.128546,0.032678,0.191736,0.008,177.114,0.500
Net2,1,2597.089111,2597.088379,0.001403,0.011,0.011,0.500
Net2,200,1143.619385,1139.209106,8.820648,0.009,1.997,0.500
Net2,400,61.040691,57.189354,7.702676,0.009,3.961,0.500
Net2,600,9.249408,6.502866,5.493084,0.011,5.941,0.500
Net2,800,4.390195,2.364741,4.050908,0.012,8.022,0.500
Net2,1000,3.115634,1.707779,2.815709,0.010,10.454,0.500
Net2,1200,2.134382,1.065698,2.137368,0.010,12.460,0.500
Net2,1400,1.703061,0.850972,1.704178,0.010,14.445,0.500
Net2,1600,1.489224,0.699974,1.578500,0.010,16.449,0.500
Net2,1800,1.291264,0.601202,1.380124,0.009,18.422,0.500
Net2,2000,1.216529,0.538528,1.356002,0.012,20.574,0.500
Net2,2200,1.004205,0.397186,1.214038,0.010,22.913,0.500
Net2,2400,0.950152,0.365319,1.169667,0.010,24.929,0.500
Net2,2600,1.070033,0.515326,1.109414,0.010,26.904,0.500
Net2,2800,0.762728,0.251482,1.022493,0.009,28.884,0.500
Net2,3000,0.848674,0.364921,0.967506,0.010,30.864,0.500
