net,epoch,loss,pde_loss,bc_loss,epoch_time_s,elapsed_s,lambda_weight
Net1,1,0.017886,0.007162,0.008579,0.009,0.009,1.250
Net1,200,0.021396,0.008887,0.010007,0.008,1.652,1.250
Net1,400,0.024681,0.013095,0.009269,0.008,3.313,1.250
Net1,600,0.053631,0.042560,0.008857,0.008,4.954,1.250
Net1,800,0.115760,0.104636,0.008899,0.008,6.616,1.250
Net1,1000,0.060023,0.049241,0.008626,0.008,8.259,1.250
Net1,1200,0.025250,0.014044,0.008964,0.012,10.421,1.250
Net1,1400,0.078214,0.067890,0.008259,0.008,12.074,1.250
Net1,1600,0.025524,0.014203,0.009057,0.008,13.718,1.250
Net1,1800,0.086227,0.075165,0.008849,0.008,15.349,1.250
Net1,2000,0.024837,0.015020,0.007854,0.008,17.020,1.250
Net1,2200,0.118065,0.108143,0.007938,0.008,18.710,1.250
Net1,2400,0.021643,0.011272,0.008297,0.011,20.399,1.250
Net1,2600,0.067509,0.057401,0.008086,0.008,22.500,1.250
Net1,2800,0.024417,0.014381,0.008029,0.010,24.150,1.250
Net1,3000,0.034272,0.023864,0.008327,0.008,25.787,1.250
Net1,3200,0.026757,0.017049,0.007766,0.008,27.452,1.250
Net1,3400,0.022674,0.013429,0.007396,0.008,29.127,1.250
Net1,3600,0.036266,0.026831,0.007548,0.008,30.790,1.250
Net1,3800,0.028012,0.018731,0.007425,0.010,32.515,1.250
Net1,4000,0.023348,0.013345,0.008002,0.008,34.583,1.250
Net1,4200,0.024977,0.015168,0.007847,0.008,36.243,1.250
Net1,4400,0.023409,0.014361,0.007238,0.008,37.887,1.250
Net1,4600,0.025852,0.017144,0.006967,0.008,39.523,1.250
Net1,4800,0.021075,0.011532,0.007634,0.008,41.200,1.250
Net1,5000,0.021438,0.012763,0.006939,0.008,42.852,1.250
Net1,5200,0.028854,0.020144,0.006969,0.011,44.565,1.250
Net1,5400,0.033381,0.025173,0.006567,0.008,46.639,1.250
Net1,5600,0.039014,0.030920,0.006475,0.009,48.291,1.250
Net1,5800,0.028297,0.019638,0.006927,0.008,49.958,1.250
Net1,6000,0.044739,0.036337,0.006722,0.008,51.635,1.250
Net1,6200,0.024219,0.015812,0.006725,0.010,53.324,1.250
Net1,6400,0.022245,0.014285,0.006369,0.008,54.971,1.250
Net1,6600,0.029790,0.022268,0.006018,0.010,56.736,1.250
Net1,6800,0.083538,0.075133,0.006724,0.008,58.768,1.250
Net1,7000,0.019860,0.011908,0.006362,0.008,60.416,1.250
Net1,7200,0.027931,0.020026,0.006325,0.008,62.080,1.250
Net1,7400,0.024582,0.016804,0.006222,0.008,63.745,1.250
Net1,7600,0.018619,0.011221,0.005919,0.008,65.386,1.250
Net1,7800,0.018411,0.011637,0.005419,0.008,67.030,1.250
Net1,8000,0.018767,0.011550,0.005773,0.010,68.820,1.250
Net1,8200,0.018759,0.012179,0.005263,0.008,70.886,1.250
Net1,8400,0.020943,0.013495,0.005958,0.008,72.544,1.250
Net1,8600,0.018192,0.010331,0.006289,0.008,74.204,1.250
Net1,8800,0.020351,0.013502,0.005479,0.009,75.865,1.250
Net1,9000,0.026369,0.019594,0.005420,0.008,77.543,1.250
Net1,9200,0.020386,0.013572,0.005451,0.008,79.204,1.250
Net1,9400,0.016974,0.010015,0.005567,0.011,81.024,1.250
Net1,9600,0.020479,0.013175,0.005843,0.009,83.009,1.250
Net1,9800,0.020034,0.013520,0.005211,0.008,84.676,1.250
Net1,10000,0.014549,0.007744,0.005444,0.009,86.334,1.250
Net1,10200,0.026166,0.019115,0.005640,0.008,88.015,1.250
Net1,10400,0.015063,0.008963,0.004880,0.008,89.671,1.250
Net1,10600,0.013072,0.006270,0.005442,0.009,91.336,1.250
Net1,10800,0.014921,0.008680,0.004993,0.010,93.161,1.250
Net1,11000,0.015820,0.008865,0.005564,0.008,95.141,1.250
Net1,11200,0.015727,0.008801,0.005541,0.009,96.833,1.250
Net1,11400,0.017227,0.010223,0.005603,0.008,98.475,1.250
Net1,11600,0.013474,0.007173,0.005040,0.008,100.152,1.250
Net1,11800,0.013124,0.006825,0.005039,0.008,101.850,1.250
Net1,12000,0.013347,0.007151,0.004956,0.008,103.492,1.250
Net1,12200,0.016637,0.010511,0.004901,0.010,105.369,1.250
Net1,12400,0.012344,0.006222,0.004898,0.010,107.295,1.250
Net1,12600,0.015422,0.009103,0.005055,0.008,108.960,1.250
Net1,12800,0.013912,0.007340,0.005257,0.008,110.643,1.250
Net1,13000,0.012770,0.006346,0.005139,0.008,112.300,1.250
Net1,13200,0.012261,0.005744,0.005214,0.008,113.975,1.250
Net1,13400,0.012174,0.006451,0.004579,0.008,115.655,1.250
Net1,13600,0.013080,0.007095,0.004788,0.010,117.549,1.250
Net1,13800,0.011973,0.005880,0.004874,0.011,119.452,1.250
Net1,14000,0.012196,0.006465,0.004585,0.008,121.128,1.250
Net1,14200,0.012676,0.006228,0.005159,0.008,122.807,1.250
Net1,14400,0.012114,0.005801,0.005050,0.008,124.499,1.250
Net1,14600,0.011722,0.005477,0.004997,0.008,126.170,1.250
Net1,14800,0.011668,0.005525,0.004914,0.009,127.844,1.250
Net1,15000,0.011763,0.005538,0.004980,0.010,129.735,1.250
Net1,15200,0.012319,0.006324,0.004796,0.008,131.646,1.250
Net1,15400,0.011142,0.005429,0.004570,0.008,133.308,1.250
Net1,15600,0.010472,0.004766,0.004565,0.008,134.956,1.250
Net1,15800,0.011106,0.005233,0.004698,0.009,136.650,1.250
