net,epoch,loss,pde_loss,bc_loss,epoch_time_s,elapsed_s,lambda_weight
Net1,1,2597.225098,2597.186523,0.009668,0.009,0.009,4.000
Net1,200,97.424072,66.124840,7.824808,0.013,2.023,4.000
Net1,400,26.464577,8.682425,4.445538,0.008,3.866,4.000
Net1,600,17.456495,4.360049,3.274112,0.008,5.584,4.000
Net1,800,14.068100,3.039042,2.757264,0.008,7.247,4.000
Net1,1000,11.539749,2.029553,2.377549,0.008,8.919,4.000
Net1,1200,8.993373,1.265113,1.932065,0.008,10.613,4.000
Net1,1400,7.788065,1.277355,1.627677,0.009,12.346,4.000
Net1,1600,6.630866,0.796288,1.458645,0.019,14.496,4.000
Net1,1800,5.544780,0.696506,1.212069,0.008,16.219,4.000
Net1,2000,4.876963,0.564379,1.078146,0.008,17.918,4.000
Net1,2200,4.037748,0.594697,0.860763,0.009,19.667,4.000
Net1,2400,3.635139,0.581440,0.763425,0.008,21.371,4.000
Net1,2600,3.103761,0.574270,0.632373,0.009,23.093,4.000
Net1,2800,2.784486,0.587591,0.549224,0.010,24.879,4.000
Net1,3000,2.381064,0.618747,0.440579,0.009,27.025,4.000
Net1,3200,1.997792,0.563658,0.358533,0.008,28.776,4.000
Net1,3400,1.737058,0.545470,0.297897,0.009,30.480,4.000
Net1,3600,1.407719,0.429122,0.244649,0.008,32.169,4.000
Net1,3800,1.032049,0.354137,0.169478,0.008,33.840,4.000
Net1,4000,0.936194,0.384313,0.137970,0.008,35.555,4.000
Net1,4200,0.764640,0.337042,0.106900,0.010,37.422,4.000
Net1,4400,0.714831,0.323548,0.097821,0.011,39.418,4.000
Net1,4600,0.606122,0.303203,0.075730,0.008,41.108,4.000
Net1,4800,0.533164,0.242364,0.072700,0.008,42.790,4.000
Net1,5000,0.585106,0.326301,0.064701,0.009,44.460,4.000
Net1,5200,0.432946,0.199291,0.058414,0.008,46.144,4.000
Net1,5400,0.431780,0.222045,0.052434,0.008,47.831,4.000
Net1,5600,0.435497,0.243732,0.047941,0.010,49.708,4.000
Net1,5800,0.345174,0.161143,0.046008,0.008,51.681,4.000
Net1,6000,0.339346,0.174248,0.041274,0.008,53.370,4.000
Net1,6200,0.307613,0.153923,0.038422,0.008,55.049,4.000
Net1,6400,0.281790,0.133796,0.036999,0.008,56.712,4.000
Net1,6600,0.270208,0.144857,0.031338,0.008,58.384,4.000
Net1,6800,0.291018,0.151468,0.034888,0.008,60.052,4.000
Net1,7000,0.258394,0.135267,0.030782,0.010,61.949,4.000
Net1,7200,0.222357,0.101756,0.030150,0.008,63.908,4.000
Net1,7400,0.230717,0.114167,0.029137,0.008,65.573,4.000
