net,epoch,loss,pde_loss,bc_loss,epoch_time_s,elapsed_s,lambda_weight
Net11(),1,0.000161,0.000113,0.000000,0.020,0.020,100.000
Net11(),200,0.124380,0.081468,0.000429,0.020,3.953,100.000
Net11(),400,0.025414,0.016205,0.000092,0.019,7.901,100.000
Net11(),600,0.060726,0.055237,0.000055,0.023,12.414,100.000
Net11(),800,0.335554,0.308519,0.000270,0.019,16.394,100.000
Net11(),1000,0.064649,0.060753,0.000039,0.026,20.424,100.000
Net11(),1200,0.266944,0.252123,0.000148,0.020,24.928,100.000
Net11(),1400,0.067660,0.064665,0.000030,0.019,28.896,100.000
Net11(),1600,1.100131,0.944403,0.001557,0.019,32.888,100.000
Net11(),1800,0.019594,0.014128,0.000055,0.019,37.372,100.000
Net11(),2000,0.096729,0.083969,0.000128,0.019,41.340,100.000
Net11(),2200,0.031123,0.029793,0.000013,0.020,45.349,100.000
Net11(),2400,0.100071,0.094709,0.000054,0.019,49.855,100.000
Net11(),2600,0.475065,0.460967,0.000141,0.019,53.821,100.000
Net11(),2800,0.022147,0.020520,0.000016,0.019,57.784,100.000
Net11(),3000,0.047760,0.037977,0.000098,0.021,62.278,100.000
Net11(),3200,0.158570,0.156135,0.000024,0.019,66.266,100.000
Net11(),3400,0.060157,0.053828,0.000063,0.025,70.351,100.000
Net11(),3600,0.473193,0.459690,0.000135,0.019,74.726,100.000
Net11(),3800,0.076452,0.068590,0.000079,0.021,78.750,100.000
Net11(),4000,0.199046,0.179727,0.000193,0.024,83.004,100.000
Net11(),4200,0.373985,0.360603,0.000134,0.021,87.245,100.000
Net11(),4400,0.013280,0.011457,0.000018,0.020,91.229,100.000
Net11(),4600,0.059887,0.051396,0.000085,0.033,95.649,100.000
Net11(),4800,0.138779,0.130231,0.000085,0.019,99.684,100.000
Net11(),5000,0.064384,0.059163,0.000052,0.020,103.755,100.000
Net11(),5200,0.008184,0.006811,0.000014,0.019,108.332,100.000
Net11(),5400,0.672485,0.661238,0.000112,0.019,112.298,100.000
Net11(),5600,0.007899,0.007171,0.000007,0.020,116.263,100.000
Net11(),5800,0.099357,0.097154,0.000022,0.019,120.782,100.000
Net11(),6000,0.042946,0.036510,0.000064,0.022,124.779,100.000
Net11(),6200,0.032708,0.029212,0.000035,0.021,128.750,100.000
Net11(),6400,0.211197,0.189308,0.000219,0.019,133.301,100.000
Net11(),6600,0.008464,0.007246,0.000012,0.020,137.342,100.000
Net11(),6800,0.317505,0.274976,0.000425,0.019,141.365,100.000
Net11(),7000,0.052111,0.047516,0.000046,0.020,145.888,100.000
Net11(),7200,0.005930,0.004926,0.000010,0.019,149.883,100.000
Net11(),7400,0.030125,0.028977,0.000011,0.019,153.857,100.000
Net11(),7600,0.018956,0.016355,0.000026,0.019,158.354,100.000
Net11(),7800,0.107629,0.104838,0.000028,0.019,162.310,100.000
Net11(),8000,0.012114,0.010646,0.000015,0.025,166.463,100.000
Net11(),8200,0.021234,0.020292,0.000009,0.021,170.818,100.000
Net11(),8400,0.022798,0.017875,0.000049,0.020,174.768,100.000
Net11(),8600,0.391189,0.366186,0.000250,0.023,179.016,100.000
Net11(),8800,0.003670,0.003204,0.000005,0.020,183.305,100.000
Net11(),9000,0.025047,0.022830,0.000022,0.022,187.275,100.000
Net11(),9200,0.111471,0.110087,0.000014,0.031,191.687,100.000
Net11(),9400,0.215186,0.207860,0.000073,0.019,195.712,100.000
Net11(),9600,0.005860,0.004912,0.000009,0.019,199.743,100.000
Net11(),9800,0.145940,0.135077,0.000109,0.020,204.251,100.000
Net11(),10000,0.019683,0.019065,0.000006,0.019,208.220,100.000
Net11(),10200,0.056399,0.050861,0.000055,0.019,212.187,100.000
Net11(),10400,0.177169,0.167669,0.000095,0.019,216.658,100.000
Net11(),10600,0.035262,0.030413,0.000048,0.019,220.634,100.000
Net11(),10800,0.017067,0.016386,0.000007,0.019,224.605,100.000
Net11(),11000,0.100618,0.086104,0.000145,0.019,229.161,100.000
Net11(),11200,0.018690,0.015981,0.000027,0.019,233.137,100.000
Net11(),11400,0.008120,0.006255,0.000019,0.019,237.104,100.000
Net11(),11600,0.127016,0.122931,0.000041,0.019,241.633,100.000
Net11(),11800,0.036371,0.035569,0.000008,0.019,245.594,100.000
Net11(),12000,0.139006,0.130923,0.000081,0.019,249.563,100.000
Net11(),12200,0.124192,0.117428,0.000068,0.019,254.062,100.000
Net11(),12400,0.004629,0.003896,0.000007,0.019,258.051,100.000
Net11(),12600,0.085081,0.081660,0.000034,0.027,262.136,100.000
Net11(),12800,0.024162,0.022717,0.000014,0.022,266.635,100.000
Net11(),13000,0.032388,0.031133,0.000013,0.019,270.618,100.000
Net11(),13200,0.013349,0.012777,0.000006,0.025,274.780,100.000
Net11(),13400,0.008942,0.008354,0.000006,0.020,279.059,100.000
Net11(),13600,0.103147,0.088410,0.000147,0.019,283.021,100.000
Net11(),13800,0.030151,0.028555,0.000016,0.030,287.374,100.000
Net11(),14000,0.045238,0.043447,0.000018,0.020,291.590,100.000
Net11(),14200,0.035086,0.031751,0.000033,0.021,295.538,100.000
Net11(),14400,0.021489,0.020538,0.000010,0.031,300.041,100.000
Net11(),14600,0.016898,0.016122,0.000008,0.019,304.028,100.000
Net11(),14800,0.028244,0.027034,0.000012,0.019,307.955,100.000
Net11(),15000,0.119265,0.116285,0.000030,0.019,312.471,100.000
Net11(),15200,0.021352,0.020661,0.000007,0.031,316.417,100.000
Net11(),15400,0.056973,0.053158,0.000038,0.022,320.413,100.000
Net11(),15600,0.020133,0.019457,0.000007,0.019,324.947,100.000
Net11(),15800,0.009516,0.008750,0.000008,0.022,328.905,100.000
Net11(),16000,0.027986,0.026832,0.000012,0.019,332.892,100.000
Net11(),16200,0.025483,0.022139,0.000033,0.019,337.398,100.000
Net11(),16400,0.002608,0.002286,0.000003,0.019,341.343,100.000
Net11(),16600,0.012181,0.011814,0.000004,0.022,345.364,100.000
Net11(),16800,0.034461,0.032484,0.000020,0.019,349.883,100.000
Net11(),17000,0.011387,0.010621,0.000008,0.020,353.860,100.000
Net11(),17200,0.072666,0.066869,0.000058,0.019,357.791,100.000
Net11(),17400,0.014667,0.013652,0.000010,0.020,362.299,100.000
Net11(),17600,0.021830,0.019121,0.000027,0.019,366.263,100.000
Net11(),17800,0.009565,0.009150,0.000004,0.028,370.277,100.000
Net11(),18000,0.005729,0.005301,0.000004,0.021,374.729,100.000
Net11(),18200,0.003530,0.002794,0.000007,0.019,378.704,100.000
Net11(),18400,0.006087,0.005756,0.000003,0.025,382.867,100.000
Net11(),18600,0.008824,0.007587,0.000012,0.019,387.138,100.000
Net11(),18800,0.029961,0.017447,0.000125,0.019,391.132,100.000
Net11(),19000,0.043329,0.035501,0.000078,0.034,395.491,100.000
Net11(),19200,0.001310,0.000959,0.000004,0.019,399.645,100.000
Net11(),19400,0.034612,0.023624,0.000110,0.019,403.611,100.000
Net11(),19600,0.046197,0.044820,0.000014,0.019,408.177,100.000
Net11(),19800,0.021092,0.015142,0.000059,0.019,412.136,100.000
Net11(),20000,0.024121,0.021742,0.000024,0.019,416.082,100.000
Net11(),20200,0.004842,0.004345,0.000005,0.019,420.602,100.000
Net11(),20400,0.041298,0.038372,0.000029,0.019,424.582,100.000
Net11(),20600,0.014323,0.013609,0.000007,0.019,428.576,100.000
Net11(),20800,0.020162,0.016549,0.000036,0.019,433.070,100.000
Net11(),21000,0.018331,0.017433,0.000009,0.019,437.017,100.000
Net11(),21200,0.002441,0.002243,0.000002,0.019,441.025,100.000
Net11(),21400,0.036028,0.034842,0.000012,0.019,445.595,100.000
Net11(),21600,0.058304,0.055574,0.000027,0.019,449.574,100.000
Net11(),21800,0.001904,0.001749,0.000002,0.019,453.643,100.000
Net11(),22000,0.015281,0.014080,0.000012,0.021,458.186,100.000
Net11(),22200,0.011394,0.008573,0.000028,0.020,462.166,100.000
Net11(),22400,0.006488,0.005536,0.000010,0.032,466.235,100.000
Net11(),22600,0.003907,0.003763,0.000001,0.020,470.710,100.000
Net11(),22800,0.015051,0.014506,0.000005,0.019,474.670,100.000
Net11(),23000,0.071053,0.065575,0.000055,0.025,478.834,100.000
Net11(),23200,0.001724,0.001444,0.000003,0.019,483.137,100.000
Net11(),23400,0.025142,0.021365,0.000038,0.019,487.114,100.000
Net11(),23600,0.001611,0.001367,0.000002,0.023,491.360,100.000
Net11(),23800,0.045911,0.044800,0.000011,0.019,495.576,100.000
Net11(),24000,0.001689,0.001478,0.000002,0.022,499.599,100.000
Net11(),24200,0.005603,0.005086,0.000005,0.024,504.107,100.000
Net11(),24400,0.002937,0.002455,0.000005,0.023,508.152,100.000
Net11(),24600,0.001553,0.001442,0.000001,0.019,512.101,100.000
Net11(),24800,0.001856,0.001515,0.000003,0.020,516.623,100.000
Net11(),25000,0.002174,0.001966,0.000002,0.019,520.574,100.000
Net11(),25200,0.011811,0.011355,0.000005,0.019,524.536,100.000
Net11(),25400,0.002541,0.002409,0.000001,0.019,529.102,100.000
Net11(),25600,0.007644,0.007268,0.000004,0.026,533.061,100.000
Net11(),25800,0.079959,0.068688,0.000113,0.019,536.999,100.000
Net11(),26000,0.001069,0.000931,0.000001,0.019,541.532,100.000
Net11(),26200,0.009764,0.009580,0.000002,0.025,545.478,100.000
Net11(),26400,0.004187,0.003906,0.000003,0.020,549.443,100.000
Net11(),26600,0.007174,0.006960,0.000002,0.020,553.964,100.000
Net11(),26800,0.002893,0.002602,0.000003,0.020,557.925,100.000
Net11(),27000,0.015345,0.013064,0.000023,0.019,561.956,100.000
Net11(),27200,0.017515,0.016574,0.000009,0.020,566.453,100.000
Net11(),27400,0.002040,0.001886,0.000002,0.019,570.442,100.000
Net11(),27600,0.009850,0.009413,0.000004,0.030,574.494,100.000
Net11(),27800,0.002661,0.002539,0.000001,0.019,578.885,100.000
Net11(),28000,0.000969,0.000858,0.000001,0.021,582.874,100.000
Net11(),28200,0.002197,0.002036,0.000002,0.024,587.197,100.000
Net11(),28400,0.010320,0.009120,0.000012,0.019,591.502,100.000
Net11(),28600,0.002362,0.002110,0.000003,0.019,595.472,100.000
Net11(),28800,0.002590,0.002392,0.000002,0.035,599.868,100.000
Net11(),29000,0.002911,0.002716,0.000002,0.021,603.919,100.000
Net11(),29200,0.001808,0.001675,0.000001,0.019,607.899,100.000
Net11(),29400,0.000847,0.000750,0.000001,0.019,612.395,100.000
Net11(),29600,0.001003,0.000926,0.000001,0.019,616.356,100.000
Net11(),29800,0.004227,0.003470,0.000008,0.019,620.354,100.000
Net11(),30000,0.002120,0.001598,0.000005,0.019,624.862,100.000
Net11(),30200,0.012542,0.011088,0.000015,0.019,628.800,100.000
Net11(),30400,0.003978,0.003635,0.000003,0.019,632.774,100.000
Net11(),30600,0.001654,0.001580,0.000001,0.020,637.269,100.000
Net11(),30800,0.003555,0.002799,0.000008,0.020,641.233,100.000
Net11(),31000,0.001856,0.001496,0.000004,0.019,645.229,100.000
Net11(),31200,0.001598,0.001409,0.000002,0.020,649.739,100.000
Net11(),31400,0.008588,0.008206,0.000004,0.019,653.697,100.000
Net11(),31600,0.002522,0.001734,0.000008,0.019,657.662,100.000
Net11(),31800,0.001737,0.001512,0.000002,0.019,662.171,100.000
Net11(),32000,0.004997,0.004438,0.000006,0.019,666.118,100.000
Net11(),32200,0.001042,0.000938,0.000001,0.025,670.279,100.000
Net11(),32400,0.002518,0.002136,0.000004,0.020,674.682,100.000
Net11(),32600,0.000619,0.000551,0.000001,0.019,678.637,100.000
Net11(),32800,0.001977,0.001854,0.000001,0.024,682.888,100.000
Net11(),33000,0.001903,0.001805,0.000001,0.019,687.162,100.000
Net11(),33200,0.002132,0.002048,0.000001,0.019,691.162,100.000
Net11(),33400,0.002692,0.002578,0.000001,0.030,695.531,100.000
Net11(),33600,0.001398,0.001301,0.000001,0.020,699.619,100.000
Net11(),33800,0.003846,0.003582,0.000003,0.019,703.610,100.000
Net11(),34000,0.001120,0.000967,0.000002,0.019,708.125,100.000
Net11(),34200,0.002451,0.002176,0.000003,0.019,712.113,100.000
Net11(),34400,0.001234,0.001045,0.000002,0.019,716.070,100.000
Net11(),34600,0.004820,0.004625,0.000002,0.019,720.573,100.000
Net11(),34800,0.001060,0.000997,0.000001,0.020,724.541,100.000
Net11(),35000,0.000871,0.000824,0.000000,0.019,728.503,100.000
Net11(),35200,0.000612,0.000495,0.000001,0.019,733.003,100.000
Net11(),35400,0.001308,0.001141,0.000002,0.019,736.958,100.000
Net11(),35600,0.002222,0.002018,0.000002,0.019,740.954,100.000
Net11(),35800,0.001778,0.001693,0.000001,0.020,745.440,100.000
Net11(),36000,0.000363,0.000320,0.000000,0.021,749.525,100.000
Net11(),36200,0.000791,0.000717,0.000001,0.021,753.541,100.000
Net11(),36400,0.001485,0.001360,0.000001,0.020,758.101,100.000
Net11(),36600,0.000752,0.000674,0.000001,0.030,762.191,100.000
Net11(),36800,0.000423,0.000351,0.000001,0.025,766.389,100.000
Net11(),37000,0.000592,0.000536,0.000001,0.019,770.767,100.000
Net11(),37200,0.000575,0.000523,0.000001,0.019,774.728,100.000
Net11(),37400,0.002126,0.002044,0.000001,0.027,778.982,100.000
Net11(),37600,0.001107,0.001035,0.000001,0.019,783.219,100.000
Net11(),37800,0.000688,0.000529,0.000002,0.019,787.180,100.000
Net11(),38000,0.000544,0.000478,0.000001,0.033,791.714,100.000
Net11(),38200,0.000686,0.000624,0.000001,0.020,795.672,100.000
Net11(),38400,0.000501,0.000460,0.000000,0.019,799.627,100.000
Net11(),38600,0.000397,0.000344,0.000001,0.019,804.168,100.000
Net11(),38800,0.000359,0.000320,0.000000,0.019,808.141,100.000
Net11(),39000,0.000821,0.000769,0.000001,0.019,812.152,100.000
Net11(),39200,0.000347,0.000309,0.000000,0.019,816.647,100.000
Net11(),39400,0.000620,0.000559,0.000001,0.019,820.617,100.000
Net11(),39600,0.000510,0.000474,0.000000,0.019,824.628,100.000
Net11(),39800,0.000317,0.000271,0.000000,0.020,829.153,100.000
Net11(),40000,0.000287,0.000252,0.000000,0.019,833.200,100.000
